UID,Rk,Player,playerid,Age,Tm,Lg,Season,G_Totals,GS_Totals,MP_Totals,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,draftyr,draftrd,draftpk,SeasonN,DraftTeam,playedForDrafter,YrFirstSeason,DraftEra,Seasonstartyr,Seasonendyr,Salary,Source
abdulta011997-98,4414,Tariq Abdul-Wahad,abdulta01,23,SAC,NBA,1997-98,59,16,959,10.1,0.053,0.35,5,8.6,6.7,8.9,1.9,0.9,13.6,22.1,91,108,-0.8,0.6,-0.2,-0.008,-4.2,-1.7,-5.9,-0.9,1997,1,11,1,SAC,Yes,1997,HSEra,1997,1998,1226880.00, bballref 
abdulta011998-99,4659,Tariq Abdul-Wahad,abdulta01,24,SAC,NBA,1998-99,49,49,1205,11.8,0.052,0.334,6.3,9.9,8.1,6.5,2.1,0.8,13,19,98,104,0.5,0.9,1.4,0.058,-2.4,-0.4,-2.8,-0.2,1997,1,11,2,SAC,Yes,1997,HSEra,1998,1999,1411000.00, bballref 
abdulta011999-00,4888,Tariq Abdul-Wahad,abdulta01,25,TOT,NBA,1999-00,61,56,1578,13.6,0.036,0.299,7,13.1,10,10,1.8,1.2,12.7,22.5,98,103,0.4,1.8,2.2,0.068,-1.6,0.1,-1.5,0.2,1997,1,11,3,SAC,?,1997,HSEra,1999,2000,1594920.00, bballref 
abdulta012000-01,5116,Tariq Abdul-Wahad,abdulta01,26,DEN,NBA,2000-01,29,12,420,5.8,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,79,106,-0.7,0.3,-0.4,-0.049,-5.9,0,-5.9,-0.4,1997,1,11,4,SAC,No,1997,HSEra,2000,2001,4500000.00, bballref 
abdulta012001-02,5352,Tariq Abdul-Wahad,abdulta01,27,TOT,NBA,2001-02,24,12,441,9.8,0.014,0.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,90,107,-0.3,0.3,0,-0.003,-3.5,0.3,-3.2,-0.1,1997,1,11,5,SAC,?,1997,HSEra,2001,2002,5062500.00, bballref 
abdursh011996-97,4660,Shareef Abdur-Rahim,abdursh01,20,VAN,NBA,1996-97,80,71,2802,17.4,0.022,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,102,112,1.7,1.2,2.9,0.049,-0.8,-1.2,-2,0,1996,1,3,1,VAN,Yes,1996,HSEra,1996,1997,2186000.00, bballref 
abdursh011997-98,4889,Shareef Abdur-Rahim,abdursh01,21,VAN,NBA,1997-98,82,82,2950,21.1,0.038,0.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,109,112,6.3,0.6,6.9,0.113,2.6,-1.4,1.2,2.3,1996,1,3,2,VAN,Yes,1996,HSEra,1997,1998,2513760.00, rookie scale 
abdursh011998-99,5117,Shareef Abdur-Rahim,abdursh01,22,VAN,NBA,1998-99,50,50,2021,20.7,0.04,0.492,6.5,15.4,10.9,17.6,1.8,2,14.6,28.9,104,107,3.7,0.9,4.6,0.108,1.9,-0.3,1.6,1.8,1996,1,3,3,VAN,Yes,1996,HSEra,1998,1999,2841720.00, rookie scale 
abdursh011999-00,5353,Shareef Abdur-Rahim,abdursh01,23,VAN,NBA,1999-00,82,82,3223,20.2,0.075,0.431,8,22.7,15.3,15.5,1.5,1.9,14.1,25,108,106,6.2,2.6,8.8,0.132,1.8,0.5,2.3,3.5,1996,1,3,4,VAN,Yes,1996,HSEra,1999,2000,9000000.00, bballref 
abdursh012000-01,5591,Shareef Abdur-Rahim,abdursh01,24,VAN,NBA,2000-01,81,81,3241,19.1,0.05,0.415,6.2,19.6,13,14.3,1.5,1.6,13.2,24.6,106,104,5.6,2.9,8.5,0.126,1.3,0.9,2.2,3.5,1996,1,3,5,VAN,Yes,1996,HSEra,2000,2001,10130000.00, bballref 
abrinal012016-17,202,Alex Abrines,abrinal01,23,OKC,NBA,2016-17,68,6,1055,10.1,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,113,110,1.2,0.9,2.1,0.096,-0.3,-2.2,-2.5,-0.1,2013,2,32,1,OKC,Yes,2016,1&DoneEra,2016,2017,5994764.00, bballref 
abrinal012017-18,542,Alex Abrines,abrinal01,24,OKC,NBA,2017-18,75,8,1134,9,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,116,110,1.3,1,2.2,0.094,-0.5,-1.7,-2.2,-0.1,2013,2,32,2,OKC,Yes,2016,1&DoneEra,2017,2018,5725000.00, bballref 
ackeral012005-06,2631,Alex Acker,ackeral01,23,DET,NBA,2005-06,5,0,35,-2.4,0.313,0,3.4,13.7,8.5,17.9,1.6,0,20,27.2,61,105,-0.2,0,-0.2,-0.23,-10.4,-1.9,-12.3,-0.1,2005,2,60,1,DET,Yes,2005,HSEra,2005,2006,398762.00, bballref 
ackeral012006-07,,Alex Acker,ackeral01,24,DET,NBA,2006-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2,60,2,DET,Yes,2005,HSEra,2006,2007,839209.00, bballref 
ackeral012008-09,3394,Alex Acker,ackeral01,26,TOT,NBA,2008-09,25,0,199,10.4,0.263,0.132,4.5,9.6,7,10.2,1.3,1.5,8,20.1,94,114,-0.1,0.1,0,-0.011,-3.6,-2.4,-6,-0.2,2005,2,60,3,DET,?,2005,HSEra,2008,2009,711517.00, bballref 
acyqu012012-13,543,Quincy Acy,acyqu01,22,TOR,NBA,2012-13,29,0,342,15.9,0.027,0.507,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,120,105,0.7,0.4,1.1,0.157,-0.6,1.3,0.7,0.2,2012,2,37,1,TOR,Yes,2012,1&DoneEra,2012,2013,665000.00, bballref 
acyqu012013-14,819,Quincy Acy,acyqu01,23,TOT,NBA,2013-14,63,0,847,10.1,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,109,107,0.6,0.9,1.5,0.086,-2.5,1.4,-1.1,0.2,2012,2,37,2,TOR,?,2012,1&DoneEra,2013,2014,788872.00, bballref 
acyqu012014-15,1082,Quincy Acy,acyqu01,24,NYK,NBA,2014-15,68,22,1287,11.9,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,105,109,1,0.7,1.7,0.063,-2.3,-0.8,-3.1,-0.3,2012,2,37,3,TOR,No,2012,1&DoneEra,2014,2015,915243.00, bballref 
acyqu012015-16,1358,Quincy Acy,acyqu01,25,SAC,NBA,2015-16,59,29,876,14.7,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,124,108,1.8,0.7,2.5,0.137,0.2,0,0.2,0.5,2012,2,37,4,TOR,No,2012,1&DoneEra,2015,2016,981348.00, bballref 
acyqu012016-17,1634,Quincy Acy,acyqu01,26,TOT,NBA,2016-17,38,1,558,11.8,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,109,110,0.5,0.5,0.9,0.082,-1.8,-1.2,-3,-0.1,2012,2,37,5,TOR,?,2012,1&DoneEra,2016,2017,2965505.00, bballref 
adamsha012006-07,2632,Hassan Adams,adamsha01,22,NJN,NBA,2006-07,61,8,495,13,0.007,0.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,109,107,0.5,0.5,1,0.095,-2.4,-1.2,-3.6,-0.2,2006,2,54,1,NJN,Yes,2006,1&DoneEra,2006,2007,412718.00, bballref 
adamsha012008-09,3127,Hassan Adams,adamsha01,24,TOR,NBA,2008-09,12,0,52,0.4,0,0.462,2.3,13.4,7.9,2.8,1,1.5,20.4,17.4,63,111,-0.2,0,-0.2,-0.144,-10.6,-1.3,-12,-0.1,2006,2,54,2,NJN,No,2006,1&DoneEra,2008,2009,297163.00, bballref 
adamsjo012014-15,820,Jordan Adams,adamsjo01,20,MEM,NBA,2014-15,30,0,248,12.8,0.291,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,96,100,0,0.4,0.4,0.073,-1.8,1.2,-0.6,0.1,2014,1,22,1,MEM,Yes,2014,1&DoneEra,2014,2015,1344120.00, bballref 
adamsjo012015-16,1083,Jordan Adams,adamsjo01,21,MEM,NBA,2015-16,2,0,15,17.3,0.167,0.833,0,15.9,7.6,31.9,10.3,0,19.6,30.5,84,90,0,0,0,0.015,-2.9,4.8,1.9,0,2014,1,22,2,MEM,Yes,2014,1&DoneEra,2015,2016,1404600.00, bballref 
adamsjo012016-17,,Jordan Adams,adamsjo01,22,MEM,NBA,2016-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1,22,3,MEM,Yes,2014,1&DoneEra,2016,2017,1465080.00, bballref 
adamsst012013-14,203,Steven Adams,adamsst01,20,OKC,NBA,2013-14,81,20,1197,11.2,0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,108,102,0.9,1.9,2.9,0.114,-2.1,2.4,0.3,0.7,2013,1,12,1,OKC,Yes,2013,1&DoneEra,2013,2014,2090880.00, bballref 
adamsst012014-15,544,Steven Adams,adamsst01,21,OKC,NBA,2014-15,70,67,1771,14.1,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,108,104,1.9,2.2,4.1,0.111,-1.4,1.8,0.4,1.1,2013,1,12,2,OKC,Yes,2013,1&DoneEra,2014,2015,2184960.00, bballref 
adamsst012015-16,821,Steven Adams,adamsst01,22,OKC,NBA,2015-16,80,80,2014,15.5,0,0.46,12.5,16.1,14.4,4.3,1,3.3,14.1,12.6,123,105,4.2,2.3,6.5,0.155,0.8,1.3,2.1,2.1,2013,1,12,3,OKC,Yes,2013,1&DoneEra,2015,2016,2279040.00, bballref 
adamsst012016-17,1084,Steven Adams,adamsst01,23,OKC,NBA,2016-17,80,80,2389,16.5,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,114,107,3.3,3.1,6.5,0.13,-0.7,1.2,0.6,1.5,2013,1,12,4,OKC,Yes,2013,1&DoneEra,2016,2017,3140517.00, bballref 
adamsst012017-18,1359,Steven Adams,adamsst01,24,OKC,NBA,2017-18,76,76,2487,20.6,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.2,16.7,125,107,6.7,3,9.7,0.187,2.2,1.1,3.3,3.3,2013,1,12,5,OKC,Yes,2013,1&DoneEra,2017,2018,22471910.00, bballref 
addisra011995-96,7958,Rafael Addison,addisra01,31,CHH,NBA,1995-96,53,0,516,9.6,0.055,0.133,5.8,15.6,10.6,9.2,0.9,1.3,13.4,17.7,99,112,0,0.2,0.2,0.019,-3.8,-1.5,-5.2,-0.4,1986,2,39,5,PHO,No,1986,HSEra,1995,1996,360000.00, bballref 
adebaba012017-18,204,Bam Adebayo,adebaba01,20,MIA,NBA,2017-18,69,19,1368,15.7,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,116,105,2.3,1.9,4.2,0.148,-1.6,1.8,0.2,0.8,2017,1,14,1,MIA,Yes,2017,1&DoneEra,2017,2018,2490360.00, bballref 
afflaar012007-08,1899,Arron Afflalo,afflaar01,22,DET,NBA,2007-08,75,9,970,10.2,0.199,0.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,104,104,0.5,1.4,1.9,0.092,-2.3,0.6,-1.6,0.1,2007,1,27,1,DET,Yes,2007,1&DoneEra,2007,2008,944520.00, bballref 
afflaar012008-09,2161,Arron Afflalo,afflaar01,23,DET,NBA,2008-09,74,8,1234,8.9,0.357,0.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,107,110,0.8,1,1.8,0.069,-1.7,-0.7,-2.4,-0.1,2007,1,27,2,DET,Yes,2007,1&DoneEra,2008,2009,1015440.00, bballref 
afflaar012009-10,2396,Arron Afflalo,afflaar01,24,DEN,NBA,2009-10,82,75,2221,10.9,0.426,0.168,3.1,9.9,6.5,9.3,1,1,10.5,14,114,111,2.8,1.4,4.3,0.092,0.8,-0.5,0.3,1.3,2007,1,27,3,DET,No,2007,1&DoneEra,2009,2010,1086240.00, bballref 
afflaar012010-11,2633,Arron Afflalo,afflaar01,25,DEN,NBA,2010-11,69,69,2324,13.6,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1,9.2,14.8,123,111,4.8,1.4,6.2,0.128,2.4,-0.2,2.1,2.4,2007,1,27,4,DET,No,2007,1&DoneEra,2010,2011,1959577.00, bballref 
afflaar012011-12,2876,Arron Afflalo,afflaar01,26,DEN,NBA,2011-12,62,62,2086,14.7,0.316,0.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,116,111,4.7,0.6,5.3,0.121,2.5,-1.6,0.8,1.5,2007,1,27,5,DET,No,2007,1&DoneEra,2011,2012,7562500.00, bballref 
agerma012006-07,2162,Maurice Ager,agerma01,22,DAL,NBA,2006-07,32,1,214,2.9,0.214,0.471,0.6,11,5.9,5,1,1.1,15.1,21.7,79,106,-0.5,0.2,-0.3,-0.06,-7.5,-1.8,-9.3,-0.4,2006,1,28,1,DAL,Yes,2006,1&DoneEra,2006,2007,906480.00, bballref 
agerma012007-08,2634,Maurice Ager,agerma01,23,TOT,NBA,2007-08,26,3,165,1.8,0.292,0.185,2.8,6.3,4.6,8,0,0.4,7.9,21.3,77,114,-0.4,0,-0.4,-0.114,-6.8,-4.5,-11.3,-0.4,2006,1,28,2,DAL,?,2006,1&DoneEra,2007,2008,974400.00, bballref 
agerma012008-09,2877,Maurice Ager,agerma01,24,NJN,NBA,2008-09,20,0,97,2.2,0.14,0.186,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,77,115,-0.3,0,-0.3,-0.133,-8.5,-4.3,-12.8,-0.3,2006,1,28,3,DAL,No,2006,1&DoneEra,2008,2009,1042440.00, bballref 
agerma012010-11,3128,Maurice Ager,agerma01,26,MIN,NBA,2010-11,4,0,29,10.1,0.364,0,0,7.9,3.8,6,1.7,0,26.7,22,94,114,0,0,0,-0.015,-2.7,-3.6,-6.3,0,2006,1,28,4,DAL,No,2006,1&DoneEra,2010,2011,83305.00, bballref 
ajincal012008-09,1086,Alexis Ajinca,ajincal01,20,CHA,NBA,2008-09,31,4,182,7,0.029,0.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,86,104,-0.3,0.3,-0.1,-0.018,-8.1,-1.2,-9.3,-0.3,2008,1,20,1,CHA,Yes,2008,1&DoneEra,2008,2009,1276320.00, bballref 
ajincal012009-10,1361,Alexis Ajinca,ajincal01,21,CHA,NBA,2009-10,6,0,30,6.3,0,0.1,4.1,11.8,8,0,1.8,2.7,16.1,19.3,81,103,-0.1,0,0,-0.013,-8.5,-2,-10.4,-0.1,2008,1,20,2,CHA,Yes,2008,1&DoneEra,2009,2010,1372080.00, bballref 
ajincal012010-11,2163,Alexis Ajinca,ajincal01,22,TOT,NBA,2010-11,34,2,340,12.2,0.256,0.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,98,107,0,0.4,0.4,0.052,-3.1,-0.3,-3.4,-0.1,2008,1,20,3,CHA,?,2008,1&DoneEra,2010,2011,1467840.00, bballref 
ajincal012013-14,2397,Alexis Ajinca,ajincal01,25,NOP,NBA,2013-14,56,30,951,14.6,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,110,107,1.2,0.9,2.1,0.104,-1.5,0.8,-0.7,0.3,2008,1,20,4,CHA,No,2008,1&DoneEra,2013,2014,1224462.00, imputed - average of prior and following years 
ajincal012014-15,2636,Alexis Ajinca,ajincal01,26,NOP,NBA,2014-15,68,8,957,19.9,0,0.301,12.4,25,18.7,8.2,1.2,4,15.6,21.1,113,103,1.9,1.2,3.2,0.159,-0.5,0.6,0.2,0.5,2008,1,20,5,CHA,No,2008,1&DoneEra,2014,2015,981084.00, bballref 
alabiso012010-11,1901,Solomon Alabi,alabiso01,22,TOR,NBA,2010-11,12,0,59,2,0,0.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,61,112,-0.2,0,-0.2,-0.142,-8.2,0,-8.2,-0.1,2010,2,50,1,DAL,No,2010,1&DoneEra,2010,2011,770000.00, bballref 
alabiso012011-12,2164,Solomon Alabi,alabiso01,23,TOR,NBA,2011-12,14,0,122,14.2,0,0.222,14.6,30.4,22.6,4.1,0.9,6,11.2,17.2,95,98,0,0.2,0.2,0.083,-5.6,1.5,-4.1,-0.1,2010,2,50,2,DAL,No,2010,1&DoneEra,2011,2012,830000.00, bballref 
aldemfu012014-15,1087,Furkan Aldemir,aldemfu01,23,PHI,NBA,2014-15,41,9,540,12,0.064,0.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,117,104,0.7,0.7,1.4,0.122,-2.7,2,-0.7,0.2,2012,2,53,1,LAC,No,2014,1&DoneEra,2014,2015,3000000.00, bballref 
aldemfu012015-16,,Furkan Aldemir,aldemfu01,24,PHI,NBA,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2,53,2,LAC,No,2014,1&DoneEra,2015,2016,3000000.00, bballref 
aldrico012010-11,1088,Cole Aldrich,aldrico01,22,OKC,NBA,2010-11,18,0,142,7,0,0.267,11.1,17.5,14.4,4,1.8,3.6,32.3,7.9,98,104,0,0.2,0.2,0.066,-3.4,2.6,-0.8,0,2010,1,11,1,NOH,No,2010,1&DoneEra,2010,2011,2126520.00, bballref 
aldrico012011-12,1362,Cole Aldrich,aldrico01,23,OKC,NBA,2011-12,26,0,173,17.7,0,0.333,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,113,96,0.3,0.4,0.6,0.176,-2.4,2.7,0.3,0.1,2010,1,11,2,NOH,No,2010,1&DoneEra,2011,2012,2286000.00, bballref 
aldrico012012-13,1637,Cole Aldrich,aldrico01,24,TOT,NBA,2012-13,45,0,388,11.1,0,0.25,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,102,105,0.1,0.4,0.6,0.07,-4.8,0.7,-4,-0.2,2010,1,11,3,NOH,?,2010,1&DoneEra,2012,2013,2445480.00, bballref 
aldrico012013-14,1902,Cole Aldrich,aldrico01,25,NYK,NBA,2013-14,46,2,330,19.1,0,0.492,12.8,33.8,23,6.4,1.3,8.1,19.5,13,120,100,0.6,0.6,1.2,0.178,-2.6,3.8,1.2,0.3,2010,1,11,4,NOH,No,2010,1&DoneEra,2013,2014,1713282.00, imputed - average of prior and following years 
aldrico012014-15,2165,Cole Aldrich,aldrico01,26,NYK,NBA,2014-15,61,16,976,18.1,0,0.213,11.6,28.9,20,13.3,2,5.5,15.2,18.3,104,102,0.8,1.4,2.2,0.107,-2.2,3.1,0.9,0.7,2010,1,11,5,NOH,No,2010,1&DoneEra,2014,2015,981084.00, bballref 
aldrila012006-07,2166,LaMarcus Aldridge,aldrila01,21,POR,NBA,2006-07,63,22,1392,17.1,0.004,0.24,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,113,109,2.5,1,3.4,0.118,-0.3,-0.6,-0.9,0.4,2006,1,2,1,CHI,No,2006,1&DoneEra,2006,2007,4027320.00, bballref 
aldrila012007-08,2398,LaMarcus Aldridge,aldrila01,22,POR,NBA,2007-08,76,76,2649,18.5,0.006,0.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,108,107,3.5,2.8,6.2,0.113,0.1,0.7,0.8,1.8,2006,1,2,2,CHI,No,2006,1&DoneEra,2007,2008,4329360.00, bballref 
aldrila012008-09,2637,LaMarcus Aldridge,aldrila01,23,POR,NBA,2008-09,81,81,3004,19.1,0.023,0.269,9.5,15.6,12.5,9.3,1.4,2,8,23.7,115,108,6.1,3.3,9.5,0.151,1.2,0.7,1.9,3,2006,1,2,3,CHI,No,2006,1&DoneEra,2008,2009,4631400.00, bballref 
aldrila012009-10,2879,LaMarcus Aldridge,aldrila01,24,POR,NBA,2009-10,78,78,2922,18.2,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,113,107,5.5,3.3,8.8,0.145,0.9,0.6,1.6,2.6,2006,1,2,4,CHI,No,2006,1&DoneEra,2009,2010,5844827.00, bballref 
aldrila012010-11,3129,LaMarcus Aldridge,aldrila01,25,POR,NBA,2010-11,81,81,3211,21.5,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,114,107,7.6,3.5,11.1,0.166,1.9,0.5,2.4,3.5,2006,1,2,5,CHI,No,2006,1&DoneEra,2010,2011,11244000.00, bballref 
alexaco011995-96,4890,Cory Alexander,alexaco01,22,SAS,NBA,1995-96,60,0,560,8.7,0.426,0.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,92,105,-0.5,0.7,0.2,0.021,-3.1,-1.6,-4.7,-0.4,1995,1,29,1,SAS,Yes,1995,HSEra,1995,1996,490000.00, bballref 
alexaco011996-97,5118,Cory Alexander,alexaco01,23,SAS,NBA,1996-97,80,6,1454,14.3,0.514,0.263,2.3,8,5.1,30,3.1,0.9,21.1,22.2,101,112,0.5,0.6,1.1,0.035,0.8,-2.1,-1.3,0.2,1995,1,29,2,SAS,Yes,1995,HSEra,1996,1997,521000.00, bballref 
alexaco011997-98,5354,Cory Alexander,alexaco01,24,TOT,NBA,1997-98,60,22,1298,15.2,0.44,0.255,1.5,11.7,6.6,28.7,2.9,0.6,20.1,19.8,103,106,1,1.2,2.2,0.081,0.9,-0.8,0.1,0.7,1995,1,29,3,SAS,?,1995,HSEra,1997,1998,562380.00, bballref 
alexaco011998-99,5592,Cory Alexander,alexaco01,25,DEN,NBA,1998-99,36,4,778,11,0.404,0.169,1,10.3,5.5,26.6,2.4,0.5,19.8,20.3,92,111,-0.2,0,-0.3,-0.016,-1.3,-2.3,-3.6,-0.3,1995,1,29,4,SAS,No,1995,HSEra,1998,1999,1271190.00, imputed - average of prior and following years 
alexaco011999-00,5842,Cory Alexander,alexaco01,26,DEN,NBA,1999-00,29,2,329,8.8,0.357,0.224,2.6,11.3,6.9,25.7,3.7,0.4,20.6,18,84,103,-0.5,0.4,-0.1,-0.012,-3.6,0.1,-3.5,-0.1,1995,1,29,5,SAS,No,1995,HSEra,1999,2000,1980000.00, bballref 
alexaco022000-01,4170,Courtney Alexander,alexaco02,23,TOT,NBA,2000-01,65,24,1382,11.6,0.08,0.262,3.5,8.4,5.9,8,1.7,0.3,10.5,23.2,96,109,0.3,0.5,0.8,0.027,-1.8,-2.5,-4.4,-0.8,2000,1,13,1,ORL,?,2000,HSEra,2000,2001,1319400.00, bballref 
alexaco022001-02,4415,Courtney Alexander,alexaco02,24,WAS,NBA,2001-02,56,28,1325,13.6,0.038,0.255,3.7,9.3,6.5,11.3,1.4,0.4,10.2,20.4,106,109,1.6,0.6,2.2,0.08,-0.5,-1.6,-2.1,0,2000,1,13,2,ORL,No,2000,HSEra,2001,2002,1418400.00, bballref 
alexaco022002-03,4661,Courtney Alexander,alexaco02,25,NOH,NBA,2002-03,66,7,1360,9.3,0.113,0.289,3.3,6.8,5,9.8,1.2,0.3,10.7,21.3,96,106,0.1,1,1.1,0.04,-3.2,-2.3,-5.5,-1.2,2000,1,13,3,ORL,No,2000,HSEra,2002,2003,1517280.00, bballref 
alexaco022003-04,,Courtney Alexander,alexaco02,26,NOH,NBA,2003-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1,13,4,ORL,No,2000,HSEra,2003,2004,2168193.00, bballref 
alexaco022004-05,,Courtney Alexander,alexaco02,27,SAC,NBA,2004-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1,13,5,ORL,No,2000,HSEra,2004,2005,79029.00, bballref 
alexajo012008-09,2399,Joe Alexander,alexajo01,22,MIL,NBA,2008-09,59,0,716,10.1,0.188,0.339,6.9,12.3,9.5,9.5,1.1,3.4,15.6,20.9,96,108,-0.3,0.7,0.4,0.03,-3.4,0.2,-3.3,-0.2,2008,1,8,1,MIL,Yes,2008,1&DoneEra,2008,2009,2403120.00, bballref 
alexajo012009-10,2638,Joe Alexander,alexajo01,23,CHI,NBA,2009-10,8,0,29,2.8,0.167,0.5,7.8,11.3,9.6,9.3,1.8,2.6,0,11.3,88,104,0,0,0,0.03,-5.2,1.5,-3.7,0,2008,1,8,2,MIL,No,2008,1&DoneEra,2009,2010,2583360.00, bballref 
alexajo012010-11,,Joe Alexander,alexajo01,24,NOH,NBA,2010-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1,8,3,MIL,No,2008,1&DoneEra,2010,2011,90465.00, bballref 
alexavi011995-96,,Victor Alexander,alexavi01,26,TOR,NBA,1995-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1,17,5,GSW,No,1991,HSEra,1995,1996,1595000.00, bballref 
alexavi012001-02,6825,Victor Alexander,alexavi01,32,DET,NBA,2001-02,15,0,97,9.2,0.039,0.157,8.6,26.6,17.6,11.5,0,0.7,8.4,28.9,80,103,-0.3,0.1,-0.1,-0.073,-7.9,-3.5,-11.4,-0.2,1991,1,17,10,GSW,No,1991,HSEra,2001,2002,653350.00, bballref 
allenja012017-18,205,Jarrett Allen,allenja01,19,BRK,NBA,2017-18,72,31,1441,17.5,0.038,0.37,10.5,18.2,14.3,5.4,0.9,4.6,15.1,16.3,119,108,2.7,1.5,4.2,0.141,-1.3,1.4,0.2,0.8,2017,1,22,1,BRK,Yes,2017,1&DoneEra,2017,2018,1713720.00, bballref 
allenje011995-96,5593,Jerome Allen,allenje01,23,MIN,NBA,1995-96,41,0,362,7.8,0.314,0.343,1.7,6.6,4.1,20.8,3,1.1,22,19,86,110,-0.5,0.3,-0.3,-0.033,-4.4,-1.6,-6.1,-0.4,1995,2,49,1,MIN,Yes,1995,HSEra,1995,1996,200000.00, bballref 
allenje011996-97,5843,Jerome Allen,allenje01,24,TOT,NBA,1996-97,76,1,943,8.7,0.421,0.326,3.1,9,6.1,25.3,1.8,0.3,21.4,15.6,95,109,-0.3,0.8,0.4,0.021,-2.3,-1.1,-3.5,-0.4,1995,2,49,2,MIN,?,1995,HSEra,1996,1997,247500.00, bballref 
allenje011997-98,,Jerome Allen,allenje01,25,CLE,NBA,1997-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,2,49,3,MIN,No,1995,HSEra,1997,1998,35000.00, bballref 
allenje011999-00,,Jerome Allen,allenje01,27,MIL,NBA,1999-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,2,49,4,MIN,No,1995,HSEra,1999,2000,510000.00, bballref 
allenka012017-18,206,Kadeem Allen,allenka01,25,BOS,NBA,2017-18,18,1,107,2.6,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,78,106,-0.2,0.1,-0.1,-0.039,-6.7,0.3,-6.4,-0.1,2017,2,53,1,BOS,Yes,2017,1&DoneEra,2017,2018,75000.00, two way contract assumption 
allenla012011-12,823,Lavoy Allen,allenla01,22,PHI,NBA,2011-12,41,15,624,12.7,0,0.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,104,98,0.4,1.2,1.6,0.124,-3.1,1.8,-1.3,0.1,2011,2,50,1,PHI,Yes,2011,1&DoneEra,2011,2012,473604.00, bballref 
