UID,Rk,Player,playerid,Age,Tm,Lg,Season,G_Totals,GS_Totals,MP_Totals,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,draftyr,draftrd,draftpk,SeasonN,DraftTeam,playedForDrafter,YrFirstSeason,DraftEra,Seasonstartyr,Seasonendyr,Salary,Source
holliro012015-16,335,Rondae Hollis-Jefferson,holliro01,21,BRK,NBA,2015-16,29,17,615,14.2,0.101,0.377,7,21.4,14.1,10.1,3.2,2.1,13.9,13.5,107,105,0.5,0.7,1.2,0.094,-1.4,2.6,1.2,0.5,2015,1,23,1,POR,No,2015,1&DoneEra,2015,2016,1335480.00, bballref 
holliro012016-17,649,Rondae Hollis-Jefferson,holliro01,22,BRK,NBA,2016-17,78,50,1761,13.7,0.124,0.467,5.8,21.1,13.6,13.4,2.2,1.9,15.1,18.7,102,107,0.4,2.2,2.6,0.07,-2.9,1.9,-1,0.4,2015,1,23,2,POR,No,2015,1&DoneEra,2016,2017,1395600.00, bballref 
holliro012017-18,916,Rondae Hollis-Jefferson,holliro01,23,BRK,NBA,2017-18,68,59,1920,16.9,0.075,0.436,5.5,20,12.7,14.2,1.6,1.9,12.3,22.2,108,109,2.1,2,4.1,0.103,-1.5,1.1,-0.4,0.8,2015,1,23,3,POR,No,2015,1&DoneEra,2017,2018,1471382.00, bballref 
holliry012006-07,2276,Ryan Hollins,holliry01,22,CHA,NBA,2006-07,27,0,185,8.5,0,1.111,6.8,13.2,9.9,0.9,1.1,2.9,23,17.1,97,108,0,0.2,0.2,0.04,-5.4,-1.5,-6.9,-0.2,2006,2,50,1,CHA,Yes,2006,1&DoneEra,2006,2007,412718.00, bballref 
holliry012007-08,2508,Ryan Hollins,holliry01,23,CHA,NBA,2007-08,60,1,532,11.4,0,0.872,11.4,11.7,11.6,4,1,4.3,16.1,13.3,113,109,0.6,0.4,1.1,0.096,-2.7,0.6,-2.2,0,2006,2,50,2,CHA,Yes,2006,1&DoneEra,2007,2008,687456.00, bballref 
holliry012008-09,2735,Ryan Hollins,holliry01,24,TOT,NBA,2008-09,45,3,444,12.9,0,0.766,12.4,13.4,12.9,2.5,0.8,5.7,16,15.7,110,106,0.5,0.6,1,0.11,-2.9,0.9,-2,0,2006,2,50,3,CHA,?,2006,1&DoneEra,2008,2009,972581.00, bballref 
holliry012009-10,2983,Ryan Hollins,holliry01,25,MIN,NBA,2009-10,73,27,1223,11,0.003,0.521,7.1,11.9,9.5,6.4,0.8,2.3,20.3,16.6,105,113,0.8,0.5,1.2,0.048,-2.6,-0.7,-3.3,-0.4,2006,2,50,4,CHA,No,2006,1&DoneEra,2009,2010,2183333.00, bballref 
holliry012010-11,3241,Ryan Hollins,holliry01,26,CLE,NBA,2010-11,70,16,1182,10.7,0,0.744,6.6,11.6,9,3.6,1,2.7,18.7,13.7,112,113,1.3,0.5,1.8,0.072,-2.5,-0.2,-2.7,-0.2,2006,2,50,5,CHA,No,2006,1&DoneEra,2010,2011,2333333.00, bballref 
holmeri012015-16,336,Richaun Holmes,holmeri01,22,PHI,NBA,2015-16,51,1,702,15.9,0.198,0.333,9.3,11.7,10.5,8,1.3,4.3,11.2,17.9,111,109,1,0.5,1.5,0.103,-1,0,-0.9,0.2,2015,2,37,1,PHI,Yes,2015,1&DoneEra,2015,2016,1050000.00, bballref 
holmeri012016-17,650,Richaun Holmes,holmeri01,23,PHI,NBA,2016-17,57,17,1193,18.6,0.187,0.25,8.7,20.1,14.4,8.3,1.7,3.7,10.7,18.6,117,106,2.2,1.6,3.8,0.151,0.2,1.5,1.7,1.1,2015,2,37,2,PHI,Yes,2015,1&DoneEra,2016,2017,1025831.00, bballref 
holmeri012017-18,917,Richaun Holmes,holmeri01,24,PHI,NBA,2017-18,48,2,746,17.4,0.129,0.232,8.6,21.4,15.2,12.3,1.3,3.2,8.6,16.6,121,103,1.6,1.3,2.8,0.183,-0.2,1.9,1.7,0.7,2015,2,37,3,PHI,Yes,2015,1&DoneEra,2017,2018,1471382.00, bballref 
honeyje011997-98,5200,Jerald Honeycutt,honeyje01,23,MIL,NBA,1997-98,38,0,530,11.8,0.348,0.262,6.2,15.3,10.7,11.1,2,0.8,16.6,25.4,94,105,-0.2,0.5,0.3,0.029,-1.5,-1.8,-3.3,-0.2,1997,2,38,1,MIL,Yes,1997,HSEra,1997,1998,300000.00, bballref 
honeyje011998-99,5441,Jerald Honeycutt,honeyje01,24,TOT,NBA,1998-99,16,0,102,4.4,0.531,0.313,3.4,10.5,6.9,4.9,2.7,1.6,19.8,20.3,77,99,-0.2,0.1,-0.1,-0.027,-5.1,-1.1,-6.2,-0.1,1997,2,38,2,MIL,?,1997,HSEra,1998,1999,300000.00, bballref 
honeyje011999-00,,Jerald Honeycutt,honeyje01,,PHI,NBA,1999-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,2,38,,MIL,No,,HSEra,1999,2000,460000.00, bballref 
honeyty012011-12,1740,Tyler Honeycutt,honeyty01,21,SAC,NBA,2011-12,15,0,88,10.4,0.125,0.208,3.6,14.4,8.7,11.5,2.3,2.5,7.1,13.9,92,108,0,0.1,0,0.013,-4.3,0.3,-4,0,2011,2,35,1,SAC,Yes,2011,1&DoneEra,2011,2012,775000.00, bballref 
honeyty012012-13,2016,Tyler Honeycutt,honeyty01,22,SAC,NBA,2012-13,9,0,32,1.9,0.182,0.182,10.5,25.8,18,9.1,0,2.4,29.6,23.4,64,111,-0.2,0,-0.1,-0.22,-11.1,-2.1,-13.2,-0.1,2011,2,35,2,SAC,Yes,2011,1&DoneEra,2012,2013,809875.00, bballref 
honeyty012013-14,,Tyler Honeycutt,honeyty01,,HOU,NBA,2013-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,2,35,,SAC,No,,1&DoneEra,2013,2014,100000.00, bballref 
hoodro012014-15,337,Rodney Hood,hoodro01,22,UTA,NBA,2014-15,50,21,1064,12.3,0.455,0.214,1,11.7,6.4,13.2,1.5,0.9,9.9,19.6,108,107,1.3,0.9,2.2,0.098,0.2,-1.3,-1.1,0.2,2014,1,23,1,UTA,Yes,2014,1&DoneEra,2014,2015,1290360.00, bballref 
hoodro012015-16,651,Rodney Hood,hoodro01,23,UTA,NBA,2015-16,79,79,2541,14.1,0.462,0.206,1.8,10.5,6.1,14.4,1.5,0.5,10.5,21.5,109,107,3.4,2.5,6,0.112,1.6,-0.9,0.7,1.7,2014,1,23,2,UTA,Yes,2014,1&DoneEra,2015,2016,1348440.00, bballref 
hoodro012016-17,918,Rodney Hood,hoodro01,24,UTA,NBA,2016-17,59,55,1593,12.4,0.461,0.173,1.2,13.1,7.3,10.1,1.3,0.6,8.3,22.9,104,107,0.7,1.9,2.6,0.078,-0.3,-0.9,-1.2,0.3,2014,1,23,3,UTA,Yes,2014,1&DoneEra,2016,2017,1406520.00, bballref 
hoodro012017-18,1196,Rodney Hood,hoodro01,25,TOT,NBA,2017-18,60,23,1616,14.3,0.443,0.172,1.6,9.9,5.8,9.7,1.4,0.6,8,24.3,106,110,1.2,1.5,2.7,0.081,0.2,-2.2,-2,0,2014,1,23,4,UTA,?,2014,1&DoneEra,2017,2018,2386864.00, bballref 
horfoal012007-08,2017,Al Horford,horfoal01,21,ATL,NBA,2007-08,81,77,2540,14.7,0.007,0.317,11.4,24.5,18,7.9,1.2,2.2,15.3,16,108,106,2.4,3,5.5,0.103,-1.3,1.1,-0.2,1.2,2007,1,3,1,ATL,Yes,2007,1&DoneEra,2007,2008,3745800.00, bballref 
horfoal012008-09,2277,Al Horford,horfoal01,22,ATL,NBA,2008-09,67,67,2242,17,0.002,0.345,7.6,25,16.3,11.9,1.3,3.3,13.1,16.4,114,104,3.3,3.5,6.8,0.145,-0.7,3.1,2.3,2.5,2007,1,3,2,ATL,Yes,2007,1&DoneEra,2008,2009,4026720.00, bballref 
horfoal012009-10,2509,Al Horford,horfoal01,23,ATL,NBA,2009-10,81,81,2845,19.4,0.001,0.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,121,105,6.9,3.9,10.9,0.183,1.5,1.9,3.3,3.8,2007,1,3,3,ATL,Yes,2007,1&DoneEra,2009,2010,4307640.00, bballref 
horfoal012010-11,2736,Al Horford,horfoal01,24,ATL,NBA,2010-11,77,77,2704,20.7,0.004,0.204,8.2,23.7,16,17.5,1.2,2.3,10.6,19.7,118,105,6.4,3.7,10.1,0.179,2,2.4,4.4,4.4,2007,1,3,4,ATL,Yes,2007,1&DoneEra,2010,2011,5444857.00, bballref 
